itemCode,itemName,purchasePrice,stockQuantity,taxRate,taxInclusive
J1Z5E2,Asb 3kg,563.55,100,GST@18%,N
G73X7G,BATH GLOVES,70,100,GST@18%,N
FRH6Y1,Bearing Jerky Treats,115,100,GST@18%,N
K9D8MX,BELLS NO.3,18,100,GST@18%,N
BP243K,Bisrock Milk 50gm,8.9,100,GST@18%,N
F1PXNI,BLUE SLICKER BRUSH,120,100,GST@18%,N
G1EMF5,BODY BELT L,155,100,GST@18%,N
UKXQD8,BODY BELT M,125,100,GST@18%,N
M8T8S8,BODY BELT S,100,100,GST@18%,N
RJE13V,BODY BELT XL,165,100,GST@18%,N
P5NM6R,Canin Creek Puppy 100g,0,100,GST@18%,Y
PH2A9O,canin Starter 100 gm,0,100,GST@18%,Y
LQX4WU,Canine Creek Club 10kg+2kg Free Inside,1482.45,100,GST@18%,N
R44C81,Canine Creek Club 20kg+10kg Free Inside,3262.11,100,GST@18%,N
F19LVY,Canine Creek Puppy 1.2kg,415.25,100,GST@18%,N
HZI5M7,canine creek puppy 100gm,0,100,GST@18%,Y
L565B4,Canine Creek Puppy 13.5kg,3681.64,100,GST@18%,N
SJ873O,Canine Creek Puppy 400gm,0,100,GST@18%,N
F115MW,Canine Creek Puppy 4kg,1186.44,100,GST@18%,N
YE5L3X,Canine Creek Starter 1.5kg,474.57,100,GST@18%,N
MVJ692,Canine Creek Starter 13.5kg,4122.88,100,GST@18%,N
HF28NJ,Canine Creek Starter 4kg,1245.76,100,GST@18%,N
HQ1361,CAPT ZACK DRY,400,100,GST@18%,N
DRDB9J,CAT COLLOR,18,100,GST@18%,N
M71626,CAT COLLOR LEASE SET,45,100,GST@18%,N
JZL15H,CAT LITTER TRAY,65,100,GST@18%,N
TGX87S,CAT TOY 5IN 1,70,100,GST@18%,N
EEN33C,Cat Turntable,220,100,GST@18%,N
PP5BVK,CHAIN NO .8,145,100,GST@18%,N
AM65WE,CHAIN NO 12,100,100,GST@18%,N
C5W964,CHAIN NO. 6,175,100,GST@18%,N
X4WK5T,CHAIN NO.14,81,100,GST@18%,N
F484T6,Chappi 20kg Adult,1774.15,100,GST@18%,N
KB35XH,CHAPPI 3KG ADULT,311.87,100,GST@18%,N
YNOBEB,CHAPPI PUPPY 3KG,328.82,100,GST@18%,N
EH1WV5,CHAPPI PUPPY 8KG,813.56,100,GST@18%,N
W4KBSM,Chip Chop Banana chip twined with chicken,195,100,GST@18%,N
AEM843,CHOKE COLLOR NY L,155,100,GST@18%,N
DJ582J,CHOKE COLLOR NY M,100,100,GST@18%,N
JPF61N,CHOKE COLLOR NY XL,155,100,GST@18%,N
GH95H3,CLICKER,92,100,GST@18%,N
L41MP2,COLLOR CHAIN NO.10,30,100,GST@18%,N
Q3G1PO,COLLOR CHAIN NO.6,60,100,GST@18%,N
S4CQQD,COLLOR CHAIN NO.8,50,100,GST@18%,N
J557O3,DENTA PASTE WITH BRUSH,160,100,GST@18%,N
O543I9,DENTASTIX LARGE,149.15,100,GST@18%,N
P55A59,DENTASTIX MEDIUM 77GM,54.24,100,GST@18%,N
IOU5P8,DENTASTIX SMALL,88.14,100,GST@18%,N
ES36O6,Dogholic 1*3 5inch,70,100,GST@18%,N
S3G8BN,Dogholic 3 Inch 500 gm Bone,0,100,GST@18%,Y
MGO47V,Dogholic 7inch Bone,100,100,GST@18%,N
GF149Q,Dogholic Chicken 500gm,100,100,GST@18%,N
D47Z2E,Dogholic Lamb 500gm,100,100,GST@18%,N
Q68184,Dogholic Meat 500gm,100,100,GST@18%,N
SGQL63,DOGHOLIC MIX CHEW STICKS,150,100,GST@18%,N
PXLCB8,Dogholic Twisted 100gm,50,100,GST@18%,N
TZ9975,Dogholic Twisted 350gm,150,100,GST@18%,N
